id,group_id,permission_id
1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,1,6
7,1,7
8,1,8
9,1,9
10,1,10
11,1,11
12,1,12
13,1,13
14,1,14
15,1,15
16,1,16
17,1,17
18,1,18
19,1,19
20,1,20
21,1,21
22,1,22
23,1,23
24,1,24
25,1,25
26,1,26
27,1,27
28,1,28
29,1,29
30,1,30
31,1,31
32,1,32
33,1,33
34,1,34
35,1,35
36,1,36
37,1,37
38,1,38
39,1,39
40,1,40
41,1,41
42,1,42
43,1,43
44,1,44
45,1,45
46,1,46
47,1,47
48,1,48
49,1,49
50,1,50
51,1,51
52,1,52
53,1,53
54,1,54
55,1,55
56,1,56
57,2,21
58,2,22
59,2,23
60,2,24
61,2,25
62,2,26
63,2,27
64,2,28
65,2,29
66,2,30
67,2,31
68,2,32
69,2,33
70,2,34
71,2,35
72,2,36
73,2,37
74,2,38
75,2,39
76,2,40
77,2,41
78,2,42
79,2,43
80,2,44
81,2,45
82,2,46
83,2,47
84,2,48
85,2,49
86,2,50
87,2,51
88,2,52
89,2,53
90,2,54
91,2,55
92,2,56
93,3,32
94,3,33
95,3,34
96,3,35
97,3,36
98,3,40
99,3,45
100,3,46
101,3,47
102,3,48
103,3,56
104,3,29
105,3,30
106,3,31
